cik,name,instant,filed,val,accn,form,reason
1004980,PG&E Corp,2023-06-30,2024-02-22,43861000000.0,0001004980-24-000014,10-K,neighbour_jump
1004980,PG&E Corp,2024-06-30,2025-02-13,45624000000.0,0001004980-25-000010,10-K,neighbour_jump
1004980,PG&E Corp,2025-06-30,2026-02-12,37246000000.0,0001004980-26-000009,10-K,neighbour_jump
1005284,UNIVERSAL DISPLAY CORP \PA\,2022-06-30,2023-02-23,4384120131000.0,0000950170-23-004086,10-K,neighbour_jump
1005284,UNIVERSAL DISPLAY CORP \PA\,2023-06-30,2024-02-22,320500461000.0,0000950170-24-018765,10-K,neighbour_jump
1005284,UNIVERSAL DISPLAY CORP \PA\,2024-06-28,2025-02-20,9245044038000.0,0000950170-25-024151,10-K,neighbour_jump
1005284,UNIVERSAL DISPLAY CORP \PA\,2025-06-30,2026-02-19,6792425456000.0,0001193125-26-059371,10-K,neighbour_jump
1020569,IRON MOUNTAIN INC,2011-06-30,2012-02-28,6038510230.13,0001047469-12-001785,10-K,neighbour_jump
1020569,IRON MOUNTAIN INC,2012-06-29,2013-03-01,4800000000.0,0001047469-13-002039,10-K,neighbour_jump
1020569,IRON MOUNTAIN INC,2013-06-28,2014-02-28,4600000000.0,0001047469-14-001562,10-K,neighbour_jump
1020569,IRON MOUNTAIN INC,2014-06-30,2015-02-27,6200000000.0,0001047469-15-001413,10-K,neighbour_jump
1020569,IRON MOUNTAIN INC,2015-06-30,2016-02-26,6500000000.0,0001020569-16-000013,10-K,neighbour_jump
1020569,IRON MOUNTAIN INC,2016-06-30,2017-02-23,10400000000.0,0001020569-17-000010,10-K,neighbour_jump
1020569,IRON MOUNTAIN INC,2017-06-30,2018-02-16,9000000000.0,0001020569-18-000006,10-K,neighbour_jump
1020569,IRON MOUNTAIN INC,2018-06-30,2019-02-14,9900000000.0,0001020569-19-000018,10-K,neighbour_jump
1020569,IRON MOUNTAIN INC,2019-06-30,2020-02-13,8900000000.0,0001020569-20-000029,10-K,neighbour_jump
1020569,IRON MOUNTAIN INC,2020-06-30,2021-02-24,7400000000.0,0001020569-21-000067,10-K,neighbour_jump
1020569,IRON MOUNTAIN INC,2021-06-30,2022-02-24,12100000000.0,0001020569-22-000035,10-K,neighbour_jump
1020569,IRON MOUNTAIN INC,2022-06-30,2023-02-23,13900000000.0,0001020569-23-000043,10-K,neighbour_jump
1020569,IRON MOUNTAIN INC,2023-06-30,2024-02-22,16100000000.0,0001020569-24-000040,10-K,neighbour_jump
